!id,name,description,category,calories,vegGluten,allergens,price,stock,costPrice
1304,Strawberry Daiquiri,Rum with strawberries & lime juice & lemonade,cocktails,100,V/VE/GF,,700,50,430
1400,Calle23 Blanco,40%,tequilas,90,V/VE/GF,,450,50,220
1401,Sierra,38%,tequilas,93,V/VE/GF,,430,50,200
1402,Ocho,40%,tequilas,97,V/VE/GF,,420,50,230
1403,Gran centenario,40%,tequilas,95,V/VE/GF,,450,50,210
1500,Vodka,40%,spirits,97,V/VE/GF,,40,50,20
1501,Gin,43%,spirits,110,V/VE/GF,,415,50,200
1502,White rum,38%,spirits,97,V/VE/GF,,410,50,200
1503,Spiced rum,37.50%,spirits,97,V/VE/GF,,410,50,200
1504,Whiskey,40%,spirits,105,V/VE/GF,,450,50,200
